glycan,human1_d_wang2023,human2_d_wang2023,human_d120_wang2022,human_d150_wang2022,human_d15_wang2022,human_d180_wang2022,human_d210_wang2022,human_d240_wang2022,human_d304_wang2022,human_d304_wang2023,human_d304_wang2024,human_d304_wang2025,human_d304_wang2026,human_d304_wang2027,human_d304_wang2028,human_d304_wang2029,human_d304_wang2030,human_d304_wang2031,human_d304_wang2032,human_d30_wang2022,human_d30_wang2023,human_d30_wang2024,human_d30_wang2025,human_d30_wang2026,human_d30_wang2027,human_d30_wang2028,human_d30_wang2029,human_d30_wang2030,human_d30_wang2031,human_d30_wang2032,human_d45_yamaguchi2024,human_d60_wang2022,human_d7_wang2022,human_d90_wang2022
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,1.117883284,1.098234739,2.56743491,1.229886388,1.702141434,1.078548685,,,,,,,,,,,,,,,,,,,2.107993933,,,,,0.009370162,2.371368456,1.342317275
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612,,,
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,5.610302564,6.111036248,5.151959557,7.149660409,8.617524519,5.856369278,,,,,,,,,,,,,,,,,,,,8.743851094,,,,6.561150493,3.777479136,5.395427725
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983,,,
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,,,
Neu5Ac(a2-?)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,12.84023051,14.8442381,11.36546999,15.07315524,16.60061871,14.6632324,,,,,,,,,,,16.19861735,,,,,,,,,,,,,14.73559847,7.245447139,9.438201299
Neu5Ac(a2-?)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,1.763217605,1.401428379,2.853986082,1.679113888,2.245476447,1.21280954,,,,,,,,2.905638801,,,,,,,,,,,,,,,,4.378106412,4.129327543,2.755726946
Neu5Ac(a2-?)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-?)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184,,,
{Fuc(a1-?)}Gal(a1-4)[GalNAc(?1-?)]Gal(b1-4)Glc1Cer,50.625,39.1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{Fuc(a1-?)}Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,39.58111111,50.99777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{Fuc(a1-?)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,
